Topic,Words
23,"भवितव्य, मुसलमान, जगाउने, झुठ्ठा, पूर्वरिसइवी, फर्किआए, मुक्, एकआपस, हिर्काए, भूमिहार"
90,"भवितव्य, मुसलमान, जगाउने, झुठ्ठा, पूर्वरिसइवी, फर्किआए, मुक्, एकआपस, हिर्काए, भूमिहार"
56,"भवितव्य, मुसलमान, जगाउने, झुठ्ठा, पूर्वरिसइवी, फर्किआए, मुक्, एकआपस, हिर्काए, भूमिहार"
2,"भवितव्य, मुसलमान, जगाउने, झुठ्ठा, पूर्वरिसइवी, फर्किआए, मुक्, एकआपस, हिर्काए, भूमिहार"
87,"भवितव्य, मुसलमान, जगाउने, झुठ्ठा, पूर्वरिसइवी, फर्किआए, मुक्, एकआपस, हिर्काए, भूमिहार"
59,"प्रहरी, मुचुल्, घटनास्थल, वडा, जाहेरी, बयान, प्रतिवेदन, खोज्दा, खान, महानगरपालि"
31,"कागज, घटना, विवरण, मानिस, मृत्यु, फेला, ढो, भनेपछि, सुनी, जानकारी"
96,"मोबाइल, हात, लिई, उत्तर, पश्चिम, दक्षिण, पैसा, देखी, बसे, नदी"
15,"बाबु, लिखत, बच्चा, पाऊँ, सहमति, ग्नें, ने, प्राप्त, सन्तान, सम्पूर्ण"
72,"प्रमाण, बेहोरा, कसुर, प्रमाणित, संलग्न, मिसिल, उल्लिखित, अर्, विचार, देखिदैन"
